,Domain,area,keywords,Abstract
495,Medical , Healthy Sleep  , Sleep quality; Sleep environment; Comfort; Questionnaire survey; Air conditioner; Electrical fan; Natural ventilation        ,"A good sleep environment is essential to maintain a person's health and daily working performance. How to create comfortable and healthy sleep environments with less energy use is worth exploring. Findings, based on one questionnaire survey on sleep environments conditioned by different cooling modes have been reported. The study investigated the use of different cooling devices in relation to the effect on sleep. Human responses to thermal environments and air quality created by different cooling modes were also studied. Totally 229 completed questionnaires were statistically analysed. The results show that most of the respondents prefer to use air conditioner 3-6 months in a year with relatively low temperature settings especially for respondents living below fifth floor. It is better to choose relatively high temperature settings to reduce air conditioning intensity especially for elders and outdoor workers, which can not only avoid cold thermal discomfort but also reduce electric energy use. For elders, outdoor workers and persons living in higher floor levels, there was an increase usage of electrical fans or natural ventilation. Thermal comfort can be maintained by raised air movement and the perceived air quality could improve obviously by introducing outdoor air, which would create a good sleep environment to ensure sleep quality."
1348,Medical , Healthy Sleep  , occupational health; workers; irregular hours; agriculture; sleep        ,"A significant proportion of the labor force works irregular hours during harvest, summer, or holiday work surges. Unfortunately such workers are often uninformed about the importance of sleep and fatigue management. Seasonally timed worker training can improve health and safety outcomes during work surges."
1502,Medical , Healthy Sleep  , Melatonin; Sleep; Systematic review; Rapid evidence assessment of the literature (REAL); Dietary supplements; Military health        ,"A systematic review was conducted using Samueli Institute's Rapid Evidence Assessment of the Literature (REAL(C)) process to determine the evidence base for melatonin as an agent to optimize sleep or improve sleep quality, and generalize the results to a military, civilian, or other healthy, active, adult population. Multiple databases were searched yielding 35 randomized controlled trials (RCTs) meeting the review's inclusion criteria, which were assessed for methodological quality as well as for melatonin effectiveness. The majority of included studies were high quality (83.0%). Overall, according to Grading Recommendations, Assessment Development and Evaluation (GRADE) methodology, weak recommendations were made for preventing phase shifts from jet lag, for improving insomnia in both healthy volunteers and individuals with a history of insomnia, and for initiating sleep and/or improving sleep efficacy. Based on the literature to date, no recommendations for use in shift workers or to improve hormonal phase shift changes in healthy people can be made at this time. Larger and longer-duration RCTs utilizing well characterized products are needed to warrant melatonin recommendations in young, healthy adults."
1987,Medical , Healthy Sleep  , Actigraphy; Higher-order cognitive functions; Physical activity; prefrontal cortex; Sleep deprivation; Sports        ,"Adolescents and young adults continue to develop rapidly, especially in their high cognitive functions such as working memory. Sleep and regular exercise have been shown to affect brain and cognitive functions, and we investigated the interplay between these two factors on working memory. One hundred participants completed a sleep-exercise log, wore an acti-watch for five days and performed a working memory task on the sixth day. Regular exercisers were found to have significantly faster response time on the working memory task than non-regular exercisers, and such effect was moderated by actigraphy-measured total sleep time. In other words, regular exercisers had faster reaction time than non-regular exercisers only when they had sufficient sleep (>6.5hours). Our findings showed that both healthy sleep and regular exercise habits should be promoted among adolescents and young adults to optimize cognitive development."
1991,Medical , Healthy Sleep  , USA; Adolescents; Sleep perceptions; Health; Culture        ,"Adolescents in the United States are known to be sleep deprived; early school start times, a biological propensity to stay up late, and a variety of wake-inducing activities lead to teens who often do not sleep enough. This chronic lack of sleep has measurable negative effects on health and well-being for adolescents. Though research has documented adolescent sleep behavior, few studies have addressed perceptions of sleep. The purpose of this study was to identify common sources of sleep information for a sample of Southwestern adolescents and examine general message content delivered to adolescents by each source. A convenience sample of 51 adolescents (mean age 14.5) completed a semi-structured, in-person interview between October 2006 and November 2007 in a Tucson, Arizona high school. Participant observation and a brief questionnaire regarding parent behavior were used to triangulate results. Parents, teachers, and in some cases the media stressed the importance of sleep for teens, while friends typically complained of tiredness. Individual experiences of sleep were reported to shape future sleep behavior. Rationales for adequate sleep included value placed on alertness, health, and achievement. Improving sleep in adolescents will not only require further education of the ""sleep messengers"" about the negative health consequences of inadequate sleep, but a larger cultural shift in how healthy sleep for teenagers is conceived and prioritized by schools, families and adolescents themselves. (C) 2012 Elsevier Ltd. All rights reserved."
74,Medical , Heart Disease  , 22q11.2 deletion syndrome; congenital heart disease; DiGeorge syndrome; growth; hypoparathyroidism; thyroid; velocardiofacial syndrome        ,"22q11.2 deletion syndrome (22q11.2DS) has a wide range of clinical features including endocrine abnormalities. We aimed to characterize growth patterns, hypoparathyroidism, and thyroid dysfunction of individuals with 22q11.2DS. Anthropometric and laboratory measurements were obtained from the charts of 48 individuals (males=28, 8.0 +/- 6.8 visits/participant) followed at a national 22q11.2DS clinic between 2009 and 2016. Age at diagnosis was 4.3 +/- 4.9 years and age at last evaluation 11.2 +/- 7.2 years. Median height-SDS was negative at all ages. Height-SDS at last visit was correlated to the midparental height-SDS (r=0.52 P=0.002). Yet, participants did not reach their target height, with a difference of 1.06 +/- 1.07 SD (P<0.0001). Height-SDS at last visit of participants with a heart defect was lower compared to participants with a normal heart (-1.5 +/- 1.4 vs. -0.6 +/- 0.8, P=0.036), with lower height-SDS in the subgroup of participants with severe heart defects (-2.1 +/- 1.6, P=0.009). Mean IGF1-SDS was low (-0.99 +/- 1.68) but was not correlated with height-SDS. Thirteen patients (27%) had hypoparathyroidism: 10 presented during infancy and 3 during adolescence. Five patients (10.4%, female=4) had thyroid abnormalities. In conclusions, individuals with 22q11.2 DS have a distinct growth pattern consisting of growth restriction at all ages, resulting in final adult height in the low-normal range. Hypoparathyroidism is common and may present during the neonatal period as well as later in life. Thyroid abnormalities may present during childhood, adolescence, or adulthood."
1036,Medical , Heart Disease  , Atherosclerosis; Cholesterol lowering agents; SOAT inhibitors; Vicinal diaryl compounds        ,"A novel series of vicinal diaryl azole-urea derivatives were synthesized and evaluated for their potential to inhibit SOAT enzyme. Among the reported compounds, compound (12d) emerged as the most potent compound with an IC50 value of 2.43 mu M. In polaxamer-407 induced lipoprotein lipase inhibition model, compound (12d) reduced triglyceride turnover in vivo. Compound (12d) also showed dose-dependent prevention of serum total cholesterol and prevention of LDL-C elevation at a dose of 30 mg/kg. Furthermore, compound (12d) showed potential to stop falling levels of serum HDL-C dose-dependently and improved the atherogenic index. Effect of 12d on body weight, plaque formation and development of atherogenic lesions were studied. Toxicological study of compound (12d) indicated that at a dose of 2000 mg/kg, 12d was devoid of any signs of toxicity or mortality. (C) 2017 Elsevier Masson SAS. All rights reserved."
1097,Medical , Heart Disease  , CLAS-closure; ASD/PDA/PFO; CONA-congenital heart disease; adults; EMBP-embolic protection devices; IAF-imaging; angiographic/fluoroscopic        ,"A patent foramen ovale (PFO) is a communication across the inter-atrial septum and a right atrial septal pouch (RASP) is an indentation of the atrial septum caused by an incomplete fusion of the septum primum and septum secundum with its base opening into the right atrium. A 63-year-old male who had a history of two strokes and episodes of transient neurological deficit was diagnosed to have a small right-to-left shunt. At the time of PFO closure, an angiogram of the atrial septum revealed a small PFO associated with a RASP. The small PFO was crossed with a straight-tipped guide wire and was closed using a 25-mm GORE CARDIOFORM Septal Occluder (W.L. Gore and Associates, AZ). It is hypothesized that stagnant blood in the RASP may generate a clot that can cross the PFO and cause an infarct. (c) 2015 Wiley Periodicals, Inc."
1264,Medical , Heart Disease  , anomalous left brachiocephalic vein; congenital heart disease; fetal echocardiography; obstetric ultrasound; prenatal diagnosis; retroesophageal left brachiocephalic vein        ,"A retroesophageal left brachiocephalic vein is an extremely rare anomaly and has only been reported in 6 postnatal cases. Two prenatally diagnosed cases are reported. On the 3-vessel view, the vein appears as an aberrant vessel transversely coursing behind the aorta and trachea, which subsequently drains into the superior vena cava, giving rise to a U-shaped configuration. On color Doppler sonography, the U sign is bicolored. This anomaly should prompt the sonographer to carefully assess for other congenital heart defects, suggest consideration for genetic testing, and alert the cardiologist because it could affect central line procedures and cardiac interventions after delivery."
1585,Medical , Heart Disease  , adult congenital heart disease; advanced cardiac imaging; echocardiography; ventricular membranous septal aneurysms; ventricular septal defect        ,"A ventricular septal defect is the most common congenital cardiac abnormality encountered in infants and children. Many of them survive through adulthood before diagnosis. Two-thirds of the cases involve the membranous part of the septum. In the absence of an interventricular shunt or concomitant cardiac surgery, guidelines for surgical intervention or resection of isolated aneurysms of the membranous septum are not well established. In this report, we discuss a multi-imaging modality approach for the diagnosis and assessment of membranous ventricular septal aneurysms and review the experts' consensuses for follow-up and treatment strategies."
44,Medical , Hepatitis C  , CYP3A1; disposition; docetaxel; liver injury; magnesium isoglycyrrhizinate; P-gp        ,"1. Magnesium isoglycyrrhizinate (MgIg) has been extensively used in treating liver injury which is the common adverse reaction of docetaxel (DOC). Due to the narrow therapeutic window, small changes in pharmacokinetic profiles can alter the toxicity and therapeutic efficacy of DOC significantly. The study aimed to explore the effects of MgIg on the disposition of DOC and the potential mechanism in DOC-induced liver injury. 2. Pharmacokinetics and tissues distribution behaviors showed that there was no significant difference between DOC group (DOCG) and MgIg+DOC group (MDOCG). The mRNA and protein levels of cytochrome P450 3A1 (CYP3A1) in liver, intestine, and kidney were significantly upregulated, and the P-glycoprotein (P-gp) was obviously downregulated in MDOCG when compared with DOCG. 3. Immunoglobulin M (IgM), CD8+ were upregulated in DOCG; while in MDOCG, IgM, CD8+ recovered to normal levels and complement C-3; CD4+ were upregulated. 4. MgIg had no significant effects on the disposition of DOC in docetaxel-induced liver injury. Additional, potential drug-drug interaction may happen if MgIg co-administered with antitumor drugs which are the substrates of CYP3A4 or P-gp. Hepatoprotective mechanism of MgIg perhaps was through upregulation of C-3, CD4+ and downregulation of IgM, CD8+."
493,Medical , Hepatitis C  , Hepatitis C virus; Gold nanoparticle probe based assay; Bio-bar code assay; Ultrasensitive detection        ,"A gold nanoparticle probe-based assay (GNPA) was developed for ultrasensitive detection of Hepatitis C virus (HCV) core antigen. In the GNPA, after anti-HCV core antigen polyclonal antibodies and single stranded barcode signal DNA were labeled on gold nanoparticle probe (NP), DNA enzyme was used to degrade the unbound barcode DNA5. The anti-HCV core antigen monoclonal antibodies were coated on magnetic microparticles probe (MMP). Then the NP-HCV core antigen-MMP sandwich immunocomplex was formed when the target antigen protein was added and captured. Magnetically separated, the immuno-complex containing the single-stranded barcode signal DNA was characterized by TagMan probe based real-time fluorescence PCR. A detection limit of 1 fg/ml was determined for the HCV core antigen which is magnitude greater than that of ELISA (2 ng/ml). The coefficients of variation (CV) of intra-assay and inter-assay respectively ranged from 0.22-2.62% and 1.92-3.01%. The improved GNPA decreased the interference of unbound barcode DNAs and may be an new way for HCV core antigen detection. (C) 2017 Published by Elsevier B.V."
747,Medical , Hepatitis C  , Hepatitis C; Dynamics; Treatment; Publicity; Optimal control        ,"A model for hepatitis C is formulated to study the effects of treatment and public concern on HCV transmission dynamics. The stability of equilibria and persistence of the model are analyzed, and an optimal control measure is performed to prevent the spread of HCV with minimal infected individuals and cost. The dynamical analysis reveals that the disease-free equilibrium of the model is asymptotically stable if the basic reproductive number R-0 is less than unity. On the other hand, if R-0 >1, the disease is uniformly persistent. Numerical simulations are conducted to investigate the influence of different vital parameters on R-0. For the corresponding optimality system, the optimal solution is discussed by Pontryagin Maximum Principle, and the comparisons of model-predicted consequences with control or not are presented. (C) 2016 Elsevier B.V. All rights reserved."
1306,Medical , Hepatitis C  , Hepatitis C; Antiviral; C-nucleoside; NS5B polymerase        ,"A series of 2'-fluorinated C-nucleosides were prepared and tested for anti-HCV activity. Among them, the triphosphate of 2'-fluoro-2'-C-methyl adenosine C-nucleoside (15) was a potent and selective inhibitor of the NS5B polymerase and maintained activity against the S282T resistance mutant. A number of phosphoramidate prodrugs were then prepared and evaluated leading to the identification of the 1-aminocyclobutane-1-carboxylic acid isopropyl ester variant (53) with favorable pharmacolcinetic properties including efficient liver delivery in animals. (C) 2017 Published by Elsevier Ltd."
1383,Medical , Hepatitis C  , cytomegalovirus; allogeneic stem cell transplantation IFN lambda 3; IL28B gene polymorphisms; T-cell immunity; CMV DNAemia        ,"A single nucleotide polymorphism (SNP), 3 kbp upstream of the IL28B gene (rs12979860; C/T), has been shown to influence the dynamics of cytomegalovirus (CMV) replication in allogeneic stem cell transplant recipients (Allo-SCT). We investigated whether this SNP had any effect on the dynamics of CMV-specific T-cell immunity in these patients. CMV pp65/IE-1 IFN-gamma CD8(+) and CD4(+) T cells were enumerated by flow cytometry in 85 patients with no prior CMV DNAemia (group A) and in 57 after the onset of CMV DNAemia (group B). Donor IL28B genotype was determined by real-time PCR and plasma levels of IL-28B were quantitated by ELISA. CMV-specific T-cell counts and plasma IL-28B levels in patients in group A were not significantly different among the IL28B genotype groups. Patients harboring the donor IL28B T/T genotype appeared to expand CMV-specific IFN-gamma CD8(+) cells to a higher level in response to viral replication than their C/T and C/C counterparts. Fewer patients in the T/T group received pre-emptive antiviral therapy (P = 0.05). Overall, a significant inverse correlation was observed between median IL-28B levels measured prior to the CMV DNAemia onset and the level of CMV-specific CD8(+) T cells enumerated after detection of CMV DNAemia (s = -0.471; P = 0.013). In summary, the data suggested that the protective effect attributed to the rs12979860 SNP minor T allele could be mediated, at least in part, by eliciting robust CMV-specific T-cell responses. (C) 2016 Wiley Periodicals, Inc."
1219,Medical , Hereditary Angioedema  , Hereditary angioedema; Laryngeal edema; Airway obstruction        ,"A rare case of death of a young man due to airway obstruction in the course of angioedema (Quincke's edema). Type I hereditary angioedema due to C1 esterase inhibitor deficiency had been diagnosed in the man while he was alive. The information concerning the man's health state was given in the Public Prosecutor's decision ordering medico legal autopsy, which was extremely helpful in recognizing the cause of death. (C) 2015 Elsevier Ireland Ltd. All rights reserved."
1314,Medical , Hereditary Angioedema  , Hereditary angioedema; plasma kallikrein; protease inhibitor; structure-based design; macrocycle        ,"A series of macrocyclic analogues were designed and synthesized based on the cocrystal structure of small molecule plasma kallikrein (pKal) inhibitor, 2, with the pKal protease domain. This led to the discovery of a potent macrocyclic pKal inhibitor 29, with an IC50 of 2 nM for one olefinic isomer and 42.3 nM for the other olefinic isomer."
1637,Medical , Hereditary Angioedema  , Hereditary angioedema; danazol; colon cancer; abdominal pain; differential diagnosis        ,"Abdominal pain is one of the basic clinical presentations of the hereditary angioedema and danazol is a common medicine which has been used for long years in patients with hereditary angioedema. We present two hereditary angioedema patients with abdominal pain albeit under danazol treatment, whose final diagnoses was colon carcinoma. There are two consequences in this article which shall be insisted on: First; in patients with hereditary angioedema, the differential diagnosis of ""abdominal pain"" is always important even though hereditary angioedema diagnosis exists. And the second; It can be hardy speculated that long term danazol treatment may cause different malignancies."
1836,Medical , Hereditary Angioedema  , acquired angioedema; acquired C1-inhibitor deficiency; monoclonal gammopathy; rituximab; splenic marginal zone lymphoma        ,"Acquired angioedema (AAE) due to C1-inhibitor (C1INH) deficiency is rare. Treatment options for acute attacks are variable and used off-label. Successful treatment of the associated lymphoma with rituximab seems to prevent acute attacks in subjects with AAE. The aim of this study was to describe AAE manifestations, its associated diseases, and patients' responses to treatments in a representative cohort. A retrospective nationwide study was conducted in France. The inclusion criteria were recurrent angioedema attacks and an acquired decrease in functional C1INH <50% of the reference value. A total of 92 cases were included, with a median age at onset of 62 years. Facial edema and abdominal pain were the most frequent symptoms. Fifteen patients were hospitalized in the intensive care unit because of laryngeal edema, and 1 patient died. Anti-C1INH antibodies were present in 43 patients. The associated diseases were primarily non-Hodgkin lymphoma (n=44, with 24 splenic marginal zone lymphomas) and monoclonal gammopathy of undetermined significance (n=24). Three patients had myeloma, 1 had amyloid light-chain (of immunoglobulin) (AL) amyloidosis, 1 patient had a bronchial adenocarcinoma, and 19 patients had no associated disease. Icatibant relieved the symptoms in all treated patients (n=26), and plasma-derived C1INH concentrate in 19 of 21 treated patients. Six patients experienced thromboembolic events under tranexamic acid prophylaxis. Rituximab prevented angioedema in 27 of 34 patients as a monotherapy or in association with chemotherapy. Splenectomy controlled AAE in 7 patients treated for splenic marginal zone lymphoma. After a median follow-up of 4.2 years, angioedema was on remission in 52 patients. AAE cases are primarily associated with indolent lymphoma-especially splenic marginal zone lymphoma-and monoclonal gammopathy of undetermined significance but not with autoimmune diseases or other conditions. Icatibant and plasma-derived C1INH concentrate control attacks; splenectomy and immunochemotherapy prevent angioedema in lymphoma setting."
1900,Medical , Hereditary Angioedema  , Angioedema; bradykinin; steroid; C1 esterase inhibitor        ,"Acute angioedema attacks are conventionally treated with antihistamines and steroids, in line with a presumed mechanism of disease involving overwhelming mast-cell degranulation. This approach overlooks a small but important minority of cases in which attacks are bradykinin driven and exhibit poor responsiveness to steroid or anti-histamine therapy. These patients may have a family history of angioedema (hereditary angioedema), or a past medical history including B-cell lymphoproliferative disorders or autoimmune disease (acquired angioedema). Rather than steroid therapy, they respond to administration of a bradykinin inhibitor, or more commonly, a Cl esterase inhibitor substitute, to control acute symptoms and reduce the probability of invasive airway insertion. In the long-term, they require Cl esterase inhibitor sparing therapy and a treat-the-cause approach to reduce the risk of recurrent attacks. We present here a case of a middle-aged woman who presented with recurrent angioedema of initially uncertain aetiology."
658,Medical , HIV/AIDS  , HIV-1; Mouse leukemia cell lines (L615 and L1210); Gene transfer; Lentiviral vectors; CD4; CCR5        ,"A low-cost rodent model of HIV infection and which presents high application value is an effective tool to investigate HIV infection and pathogenesis. However, development of such a small animal model has been hampered by the unsuitability of rodent cells for HIV-1 replication given that the retrovirus HIV-1 has high selectivity to its host cell. Our study used the mouse leukemia cell lines L615 and L1210 that were induced by murine leukemia virus and transfected with hCD4/CCR5 loaded-lentiviral vector. Lentiviral vectors containing the genes hCD4/CCR5 under the transcriptional control of cytomegalovirus promoter were designed. Transfection efficiencies of human CD4 and CCR5 in L615 and L1210 cells were analyzed by quantitative real-time polymerase chain reaction (RT-PCR) and Western blot assay. Results showed that hCD4 and CCR5 proteins were expressed on the cell surface, demonstrating that the L615 and L1210 cells were humanized and that they possess the characteristics necessary for HIV infection of human host cells. Moreover, the sensitivity of human CD4/CCR5 transgenic mouse cells to HIV infection was confirmed by RT-PCR and ELISA. Mouse leukemia cell lines that could express hCD4 and CCR5 were thus established to facilitate normal entry of HIV-1 so that a human CD4/CCR5 transgenic mice cell model can be used to investigate the transmission and pathogenesis of HIV/AIDS and potential antiviral drugs against this disease."
837,Medical , HIV/AIDS  , HIV/AIDS; Pre-exposure prophylaxis (PrEP); Backward bifurcation; Equilibria; Stability; Reproduction number        ,"A new deterministic model for HIV/AIDS that incorporates pre-exposure prophylaxis (PrEP) is designed and used to assess the population-level impact of the use of PrEP on the transmission dynamics of the disease within an MSM population. Conditions for the effective control (or elimination) and persistence of HIV/AIDS in the MSM population are determined by rigorously analyzing this model. Uncertainty and sensitivity analysis is carried out, using data relevant to HIV transmission dynamics in the MSM community in the U.S. State of Minnesota, to determine the effect of the uncertainties in the parameter values on the outcome (response) variable (the associated reproduction number) and to identify the parameters that have the most effect on the disease transmission dynamics. Numerical simulations show that, with the current rate of administration of antiretroviral treatment (to HIV-infected individuals), HIV burden decreases with increasing PrEP coverage. Furthermore, for this setting, this study suggests that HIV can be effectively controlled in the MSM population if, in addition to the current rate of administration of anti-retroviral therapy in the community, at least 61-77% (with mean of about 70%) of the susceptible members of the MSM community are on PrEP (adjusted by PrEP efficacy). (C) 2016 Elsevier Inc. All rights reserved."
2106,Medical , HIV/AIDS  , Cocaine use; HIV testing; African American; Rural; Urban        ,"African Americans (AAs) who use cocaine in the Southern region of the U.S. have a relatively high risk of HIV and need for HIV testing. Among this group, those residing in rural areas may have less favorable opinions about common HIV testing sites, which could inhibit HIV testing. We examined rural/urban variations in their acceptability of multiple HIV testing sites (private physician clinic, local health department, community health center, community HIV fair, hospital emergency department, blood plasma donation center, drug abuse treatment facility, and mobile van or community outreach worker). Results from partial proportional odds and logistic regression analyses indicate that rural AA who use cocaine have lower odds of viewing local health departments (OR = 0.09, 95 % CI = 0.03-0.21), physician offices (OR = 0.19, 95 % CI = 0.09-0.42), and drug use treatment centers (OR = 0.49; 95 % CI = 0.30-0.80) as acceptable relative to their urban counterparts. The findings have implications for further targeting HIV testing toward AAs who use of cocaine, particularly those residing in the rural South."
2108,Medical , HIV/AIDS  , HIV/AIDS; women; social stigma; Blacks; quality of life; mental health; health disparities        ,"African and Caribbean Black (ACB) women in Canada are disproportionately impacted by new HIV infections. ACB women's HIV vulnerability is shaped by contexts of stigma and discrimination. HIV-related stigma compromises quality of life (QOL) among women living with HIV (WLWH), yet scant research has examined concomitant effects of racial discrimination and HIV-related stigma on QOL. We used data from a cross-sectional survey with ACB WLWH in Ontario (n=173) to test a conceptual model of pathways between HIV-related stigma, racial discrimination, depression, social support, and QOL. We conducted structural equation modeling using maximum likelihood estimation to test the model. In independent models, HIV-related stigma was associated with lower QOL, and depression partially mediated the association between HIV-related stigma and QOL. In the simultaneous model, HIV-related stigma had significant direct effects on depression, social support, and an indirect effect on QOL. When social support was added as a mediator, the direct effect between HIV-related stigma and QOL was no longer significant, suggesting mediation. Racial discrimination had significant direct effects on HIV-related stigma, depression, and social support and an indirect effect on QOL. QOL was associated with higher social support and lower depression scores. The model fit the data well: (2)=203.266, degrees of freedom (DF): 112, p<.0001; Comparative Fit Index (CFI): 0.929, Tucker-Lewis Index (TLI): 0.912, Root-Mean Square Error of Approximation (RMSEA): 0.071. We found racial discrimination was associated with increased HIV-related stigma, and HIV-related stigma and racial discrimination compromised QOL. Findings suggest the need for multilevel interventions to reduce stigma and discrimination, address depression, and build social support to improve QOL among ACB WLWH."
2218,Medical , HIV/AIDS  , AIDS; stigma; pregnancy; HIV; infection; society; social discrimination        ,"AIDS is a devastating and deadly disease that affects people worldwide and, like all infections, it comes without warning. Specifically, childbearing women with AIDS face constant psychological difficulties during their gestation period, even though the pregnancy itself may be normal and healthy. These women have to deal with the uncertainties and the stress that usually accompany a pregnancy, and they have to live with the reality of having a life-threatening disease; in addition to that, they also have to deal with discriminating and stigmatizing behaviors from their environment. It is well known that a balanced mental state is a major determining factor to having a normal pregnancy and constitutes the starting point for having a good quality of life. Even though the progress in both technology and medicine is rapid, infected pregnant women seem to be missing this basic requirement. Communities seem unprepared and uneducated to smoothly integrate these people in their societies, letting the ignorance marginalize and isolate these patients. For all the aforementioned reasons, it is imperative that society and medical professionals respond and provide all the necessary support and advice to HIV-positive child bearers, in an attempt to allay their fears and relieve their distress. The purpose of this paper is to summarize the difficulties patients with HIV infection have to deal with, in order to survive and merge into society, identify the main reasons for the low public awareness, discuss the current situation, and provide potential solutions to reducing the stigma among HIV patients."
130,Medical , Hypothyroidism  , new daily persistent headache; migraine; goiter; headache attributed to hypothyroidism; hyperthyroidism        ,"A 33-year-old female is presented with the first case to our knowledge of new daily persistent headache (NDPH) with a large right benign non-toxic multinodular goiter causing carotid and vertebral compression with complete resolution of the headache immediately after thyroidectomy. Although this may be quite rare, hypothyroidism or hyperthyroidism causing NDPH, migraine, or an exacerbation of pre-existing migraine is not. Clinicians should consider routinely obtaining serum thyroid-stimulating hormone (TSH) and free T4 in patients with new onset frequent headaches or an exacerbation of prior primary headaches."
145,Medical , Hypothyroidism  , Hypopituitarism; hypothyroidism; pericardial effusion; tamponade        ,"A 53-year-old woman was diagnosed with hypopituitarism following an acute presentation with cardiac tamponade and hyponatraemia, having recently been investigated for a pericardial effusion. Secondary hypothyroidism is a rare cause of pericardial effusion and tamponade, but an important differential to consider. Management requires appropriate hormone replacement and, critically, a low threshold for commencing stress dose steroids. Clinical signs classically associated with cardiac tamponade are frequently absent in cases of tamponade due to primary and secondary hypothyroidism, and the relatively volume deplete state of secondary hypoadrenalism in hypopituitarism may further mask an evolving tamponade, as the rise in right atrial pressure is less marked even in the presence of large effusion. Our case demonstrates the importance of a high index of suspicion for cardiac tamponade in this patient cohort, even in the absence of clinical signs, and for measuring both thyroid-stimulating hormone and thyroxine levels when evaluating a pericardial effusion."
1491,Medical , Hypothyroidism  , GC-MS metabolomic data validation and normalization; Mammalian brain metabolism; Adult-onset hypothyroidism (AOH); Balb/cJ mouse cerebellum; Metabolic network analysis; Systems biology        ,"A systematic data quality validation and normalization strategy is an important component of the omic profile meta-analysis, ensuring comparability of the profiles and exclusion of experimental biases from the derived biological conclusions. In this study, we present the normalization methodology applied on the sets of cerebellum gas chromatography-mass spectrometry metabolic profiles of 124 days old male and female animals in an adult-onset-hypothyroidism (AOH) mouse model before combining them into a sex-comparative analysis. The employed AOH model concerns the monitoring of the brain physiology of Balb/cJ mice after eight-week administration of 1%w/v KClO4 in the drinking water, initiated on the 60th day of their life. While originating from the same animal study, the tissues of the two sexes were processed and their profiles acquired and analyzed at different time periods. Hence, the previously published profile set of male mice was first re-annotated based on the presently available resources. Then, after being validated as acquired under the same analytical conditions, both profiles sets were corrected for derivatization biases and filtered for low-confidence measurements based on the same criteria. The final normalized 73-metabolite profiles contribute to the currently few available omic datasets of the AOH effect on brain molecular physiology, especially with respect to sex differentiation. Multivariate statistical analysis indicated one (unknown) and three (succinate, benzoate, myristate) metabolites with significantly higher and lower, respectively, cerebellum concentration in the hypothyroid compared to the euthyroid female mice. The respective numbers for the males were two and 24. Comparison of the euthyroid cerebellum metabolic profiles between the two sexes indicated 36 metabolites, including glucose, myo- and scyllo-inositol, with significantly lower concentration in the females versus the males. This implies that the female mouse cerebellum has been conditioned to smaller changes in its metabolic activity with respect to the pathways involving these metabolites compared to the male animals. In conclusion, our study indicated a much subtler AOH effect on the cerebellum metabolic activity of the female compared to the male mice. The leaner metabolic profile of the female mouse cerebellum was suggested as a potential factor contributing to this phenomenon. (C) 2016 Elsevier B.V. All rights reserved."
1667,Medical , Hypothyroidism  , Hypothyroidism; Myalgia; Rhabdomyolysis; Hoffmann's syndrome; Koche-Debre'-Semelaigne syndrome; Creatine kinase        ,"Abnormalities in thyroid function are common endocrine disorders that affect 5-10% of the general population, with hypothyroidism occurring more frequently than hyperthyroidism. Clinical symptoms and signs are often nonspecific, particularly in hypothyroidism. Muscular symptoms (stiffness, myalgias, cramps, easy fatigability) are mentioned by the majority of patients with frank hypothyroidism. Often underestimated is the fact that muscle symptoms may represent the predominant or the only clinical manifestation of hypothyroidism, raising the issue of a differential diagnosis with other causes of myopathy, which sometimes can be difficult. Elevated serum creatine kinase, which not necessarily correlates with the severity of the myopathic symptoms, is certainly suggestive of muscle impairment, though it does not explain the cause. Rare muscular manifestations, associated with hypothyroidism, are rhabdomyolysis, acute compartment syndrome, Hoffman's syndrome and Kocher-Debre-Semelaigne syndrome. Though the pathogenesis of hypothyroid myopathy is not entirely known, proposed mechanisms include altered glycogenolytic and oxidative metabolism, altered expression of contractile proteins, and neuro-mediated damage. Correlation studies of haplotype, muscle gene expression and protein characterization, could help understanding the pathophysiological mechanisms of this myopathic presentation of hypothyroidism."
1771,Medical , Hypothyroidism  , Sperm motility; DNA damage; L-Thyroxine; PI3K/Akt; p53        ,"Accumulating evidences showed that thyroid hormone was participated in the functioning of the reproductive system, and an elevated level of thyroid hormones had a negative impact on reproductive system. However, the molecular basis for this observation still remains to be fully understood. Here, we show that L-Thyroxine significantly impaired human sperm motility. The molecular basis showed that thyroxine receptor stimulation triggers Phosphatidyl Inositol 3-kinase (PI3K)/Akt signaling activation leading to the E3 ligase MDM2 phosphorylation at serine 166, which directly interacted with p53 for degradation. p53 degradation caused a p53-dependent DNA damage checkpoint or repair dysfunction, which eventually results in DNA damage accumulation in sperm. Our results highlight that inhibition of PI3K/Akt pathway or p53 degradation is important in maintaining sperm motility in a thyroxine receptor (TR)-dependent manner. (C) 2017 Elsevier B.V. All rights reserved."
